Vardas                  Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas1                 Pavarde1                   4         6         8         6         3         5         7         9         1        10         6         6         2         7         9        10
Vardas2                 Pavarde2                   5         9        10        10        10        10         8         6         6         9         3         9         8         4         7         5
Vardas3                 Pavarde3                   2         6         6         1         7         6         6         5         9         3         6         7         2         1         2         3
Vardas4                 Pavarde4                   5         7        10         5         6        10        10         2         3         3         6         7        10         1         9         4
Vardas5                 Pavarde5                   9         4         2         2         9         8         5         3         3         2         6         3         1         1         8         7
Vardas6                 Pavarde6                   9         7        10         5         3         6         4         1        10         9        10         2         6        10         1         1
Vardas7                 Pavarde7                   1        10         7         6         2         7         4         5         9         9         7         5         2         7         5         2
Vardas8                 Pavarde8                   4         6         2         8         4         5         3         1         7        10         4         7         4         7         9         7
Vardas9                 Pavarde9                   5         6         9         8        10         2        10        10         1         5        10         3         5         9         7         3
Vardas10                Pavarde10                  2         2         1         1         1         3         6         3         8         8         9         5         1        10         4         2
Vardas11                Pavarde11                  9         3         7         9         6         3         2         5         7         5         2         6         1         1         2         5
Vardas12                Pavarde12                  10         7        10         3         1         4         2         8         5         9         8         6         7         7         3         3
Vardas13                Pavarde13                  2         4         7         7         6         4         3        10         9         3         3         1         1         9         2        10
Vardas14                Pavarde14                  5         5         8         3         8         5         4         3         5         2         4         9         8         8         9         1
Vardas15                Pavarde15                  6         9         4        10         6         7         6         4         9         7         8         4         3         7         8         1
Vardas16                Pavarde16                  5         8         6         1         2         4         6         4         4         6         2         1        10         3        10         6
Vardas17                Pavarde17                  1         2         6         8         4         2         8         9         8         9         1         6         3         7         9         3
Vardas18                Pavarde18                  4         4         4         1         9         7         9         5         1         9         5         4         5        10         2         1
Vardas19                Pavarde19                  3         7         2         9         2         8         2        10         8         6         1         8         4         2        10         4
Vardas20                Pavarde20                  2         3         1         2         4         9         4        10         7         3         8         1         9         6         3         7
Vardas21                Pavarde21                  6         6         9         7         1         2         3         6         8         9         2         8         9         1         5         5
Vardas22                Pavarde22                  3         4         2         3         7         9        10         5         4         3         8         9         9         6         1        10
Vardas23                Pavarde23                  9         2         7         7         3         7         8         7         1         6         4         1        10         1         1         1
Vardas24                Pavarde24                  6         4         5         7         3         7        10        10         4         3         5         8         1         8         3         7
Vardas25                Pavarde25                  10         8         7         2         5         3         7         8         5         9         7         1         2        10         1         8
Vardas26                Pavarde26                  1         2         6        10         9         5         7         7         1         3        10         3         6         2         2         9
Vardas27                Pavarde27                  8         2         1         3         3        10         1         2         6         6        10         1         1         8         6         6
Vardas28                Pavarde28                  4         6        10         8         7        10         4         2         3         3         4         6         7         9        10        10
Vardas29                Pavarde29                  5         4         6         2         4         8         9         3         7        10         7         8         3        10         9         8
