Vardas                  Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas1                 Pavarde1                   1         9         6         3         4         2         7         8         2        10         6         8         2         9        10         3
Vardas2                 Pavarde2                   6        10         7         8         1         7         2         8         3         5         9         8         5         5         6         3
Vardas3                 Pavarde3                   8        10         2        10        10         2         5         9         7         7         2         6         8         8         2         8
Vardas4                 Pavarde4                   2         5         3         9         1         4         4         3         6         8         3         2         8         9         2         1
Vardas5                 Pavarde5                   8         5         4         2         3         1         2         2         2         7         7         4         4         9         7         9
Vardas6                 Pavarde6                   3         6         7         5         7         5        10        10         8         8         7         6         5         1         7         9
Vardas7                 Pavarde7                   3         1        10         3         3         9         1         1         8         8         3         4        10        10         4         4
Vardas8                 Pavarde8                   8         9         2         9         2         5         9        10        10         9         5         2         3         5         2         7
Vardas9                 Pavarde9                   8         2         3        10         3         2         9         4         7         2         3         6         5         5         6         4
Vardas10                Pavarde10                  8         3         3         7         5         1         7         3         9         4         3         5         6         1         4         9
